area,perimeter,height,width,r_value,g_value,b_value,index,label
212.5,210.6719035,254,307,203,168,62,12,2
243.5,8.662741661,254,307,219,162,92,11,2
226,17.32548332,254,307,211,165,83,13,2
219.5,7.725483322,254,313,216,122,62,12,2
240,285.9232879,254,321,214,160,83,14,2
226,3.2,254,321,191,156,94,11,2
217.5,7.656854153,254,321,182,155,99,11,2
217,317.9482656,254,321,185,164,103,12,2
214,4.779898953,254,321,204,155,59,12,2
218.5,272.1860286,254,321,202,146,16,12,2
257,45.96467476,254,321,204,164,14,15,2
240.5,8.876955199,254,321,205,169,83,14,2
213.5,2.4,254,321,212,161,18,11,2
195,241.3208479,265,321,215,124,76,11,2
208,230.6331286,265,321,213,163,70,13,2
225,0,265,321,201,163,95,14,2
199,138.9380931,269,321,220,172,118,12,2
210,5.462741661,269,321,221,154,97,12,2
198.5,306.26441,269,321,227,153,87,12,2
238.5,0,269,321,204,141,72,11,2
236.5,11.2,269,321,194,128,63,12,2
225,1000.7051,269,321,200,132,62,12,2
230,6.145584369,269,321,213,120,80,11,2
205.5,430.5320312,269,321,157,87,66,11,2
204.5,358.2110064,269,321,217,171,111,11,2
264.5,100.2371707,269,321,217,150,56,13,2
247.5,0,269,321,208,159,74,14,2
237.5,46.88528123,269,321,200,167,50,13,2
221.5,272.0252211,269,321,204,153,79,12,2
260.5,219.8650049,269,321,202,165,88,13,2
215,6.848528123,269,321,194,178,117,12,2
211.5,185.2507906,269,321,203,171,110,13,2
211,13.28528123,269,321,217,121,81,12,2
242.5,0,269,321,211,165,83,13,2
213.5,306.5555816,269,321,220,166,97,13,2
220,16.38822498,269,321,201,163,75,11,2
229.5,252.8424645,269,326,212,157,62,12,2
247,18.87350621,269,326,168,88,69,13,2
228,242.1527242,269,326,185,115,102,12,2
229.5,403.8893905,269,326,213,163,74,12,2
229,219.0782068,269,326,172,88,71,10,2
200.5,138.0410374,269,326,195,166,107,11,2
199,7.511269784,269,326,190,175,84,12,2
207.5,21.77056246,269,326,222,171,116,14,2
221,325.0089871,269,326,217,102,61,13,2
233.5,9.325483322,269,326,212,151,28,12,2
228.5,57.27838326,269,326,196,167,79,12,2
237.5,409.7472548,269,326,220,153,25,12,2
224,8.194112492,269,326,197,169,80,12,2
207,12.48528123,269,326,169,120,97,11,2
220,2.8,269,326,167,118,98,12,2
240.5,262.666433,269,326,206,169,96,13,2
197.5,2.8,269,326,157,85,68,14,2
214,4.779898953,269,326,161,96,78,14,2
205,349.0491868,269,326,221,162,102,12,2
225.5,2.8,269,326,182,170,81,13,2
213.5,184.0057123,269,326,221,163,103,13,2
197.5,180.6115995,269,326,216,170,105,11,2
223.5,25.64507914,269,326,218,166,111,13,2
248.5,81.19797907,269,326,211,165,86,13,2
233,19.49116874,269,326,211,153,22,14,2
203.5,163.5807335,269,326,183,117,97,13,2
200.5,2,269,326,169,99,72,11,2
