r_value,g_value,b_value,label
211,160,83,3
204,156,21,4
207,155,48,4
204,166,61,4
206,170,89,4
208,165,87,4
204,163,97,4
207,154,67,4
208,168,91,4
204,156,72,4
206,167,77,4
205,156,22,4
207,188,128,4
204,160,66,4
207,128,68,4
207,133,60,4
206,170,92,4
208,170,106,4
204,156,81,4
206,170,89,4
204,127,58,4
207,130,59,4
207,175,114,4
206,130,59,4
207,171,103,4
206,132,66,4
208,118,65,4
207,157,95,4
204,158,41,4
204,146,97,4
205,128,67,4
208,157,72,4
205,133,68,4
206,167,67,4
206,166,66,4
206,164,91,4
207,160,35,4
204,166,68,4
207,164,95,4
206,175,105,4
207,172,100,4
205,155,31,4
208,170,113,4
207,159,26,4
206,160,53,4
207,157,21,4
206,155,113,4
205,149,69,4
204,166,88,4
206,170,65,4
207,150,16,4
206,158,112,4
206,153,29,4
206,165,78,4
206,160,23,4
207,167,52,4
207,163,106,4
205,161,74,4
207,167,65,4
208,157,18,4
208,128,61,4
207,126,56,4
207,167,81,4
206,156,83,4
205,148,59,4
208,161,100,4
206,117,66,4
207,155,67,4
206,161,128,4
204,157,80,4
207,148,91,4
208,144,90,4
208,165,87,4
206,169,99,4
208,163,98,4
208,148,43,4
205,160,57,4
206,180,123,4
206,136,69,4
207,129,61,4
205,175,97,4
206,167,93,4
206,166,113,4
207,158,104,4
208,165,107,4
206,170,110,4
207,161,52,4
207,166,88,4
206,160,100,4
208,165,99,4
205,165,56,4
206,160,74,4
204,164,75,4
206,127,70,4
208,136,64,4
205,161,107,4
206,154,16,4
206,168,68,4
204,155,44,4
208,154,23,4
208,163,32,4
206,169,76,4
207,148,43,4
205,163,102,4
207,164,96,4
207,158,88,4
208,163,31,4
205,171,78,4
208,184,115,4
208,163,30,4
206,168,90,4
206,164,68,4
207,157,20,4
207,164,90,4
206,157,98,4
207,149,12,4
207,149,11,4
208,174,95,4
208,174,85,4
204,162,61,4
207,153,60,4
205,155,56,4
204,170,83,4
207,152,92,4
205,164,87,4
206,165,58,4
204,120,66,4
208,127,65,4
208,169,93,4
206,146,51,4
208,139,67,4
208,133,57,4
208,166,116,4
207,119,63,4
207,152,40,4
206,141,74,4
205,165,72,4
204,156,38,4
208,164,50,4
207,155,7,4
208,131,72,4
207,161,84,4
205,159,54,4
205,162,104,4
208,165,63,4
206,123,84,4
204,110,67,4
206,162,88,4
206,155,63,4
205,166,93,4
208,164,102,4
205,154,67,4
204,163,84,4
205,160,76,4
204,162,77,4
207,153,79,4
208,159,97,4
204,123,66,4
207,167,85,4
206,156,72,4
204,160,96,4
206,171,81,4
207,130,62,4
207,145,62,4
207,132,67,4
206,159,111,4
205,156,70,4
207,167,54,4
205,167,88,4
206,166,79,4
207,162,63,4
206,142,108,4
205,159,45,4
208,159,91,4
207,162,36,4
207,141,35,4
208,138,32,4
207,159,17,4
206,141,34,4
205,167,98,4
204,165,67,4
204,143,57,4
205,124,77,4
205,155,17,4
207,167,43,4
207,157,10,4
206,121,83,4
207,161,88,4
205,170,61,4
204,155,20,4
204,168,65,4
207,172,52,4
204,115,70,4
205,162,96,4
