area,perimeter,height,width,r_value,g_value,b_value,index,label
244.5,238.1173984,275,381,228,148,19,13,1
243,157.3949473,275,381,218,158,23,11,1
223.5,437.830514,275,381,223,143,22,11,1
246,199.4851054,275,381,219,160,111,14,1
193.5,140.190071,275,381,220,151,86,11,1
226,0,275,381,222,140,78,12,1
243,19.42253957,275,381,220,151,93,13,1
224.5,509.59073,275,381,224,158,43,11,1
217.5,300.0820742,275,381,221,161,53,13,1
227.5,281.6051207,275,381,227,159,100,11,1
199.5,315.4997355,275,381,221,158,52,13,1
246,8.691168737,275,381,221,157,50,13,1
243.5,280.5409501,275,381,219,115,71,12,1
248,298.060545,275,381,227,161,56,12,1
225.5,809.0876118,275,381,220,134,75,11,1
216.5,854.4498479,275,381,220,158,60,9,1
257.5,104.2253956,275,381,221,117,71,13,1
189,475.4686951,275,381,222,170,75,13,1
177.5,182.6802291,275,381,226,152,92,14,1
192,139.4101717,275,381,225,144,29,11,1
211.5,794.9331082,275,381,222,164,84,12,1
225.5,21.91959581,275,381,221,127,59,11,1
198.5,9.071067691,275,381,226,150,36,11,1
202.5,562.5612928,275,381,226,145,26,12,1
239,271.9919152,275,381,221,158,99,12,1
237.5,0,275,381,229,147,92,10,1
195,441.3673551,275,381,230,142,64,12,1
230,293.6820731,275,381,224,141,69,14,1
210.5,594.1627202,275,381,222,145,71,12,1
218.5,283.580141,275,381,225,149,110,13,1
201,10.59411249,275,381,222,175,108,10,1
209,551.7265605,275,381,220,150,119,11,1
218.5,440.740774,275,381,221,156,50,14,1
170.5,209.1370829,275,381,224,155,38,12,1
178,176.1998261,275,381,219,152,92,13,1
173.5,250.1492757,275,381,221,147,84,11,1
220.5,328.9624784,275,381,232,147,45,13,1
220,64.72792184,275,381,224,166,85,11,1
227,488.4039318,275,381,221,141,70,10,1
206,256.8355676,275,381,227,166,99,13,1
215.5,276.7115122,275,381,219,132,58,11,1
202.5,464.9291736,275,381,225,166,85,11,1
189,12.29116874,275,381,225,165,81,11,1
202,608.6936752,275,381,223,163,84,11,1
226,251.5801401,275,381,223,161,59,12,1
250.5,269.5683664,275,381,224,163,73,11,1
228.5,2.8,275,381,223,154,31,11,1
207.5,750.1897198,275,381,235,145,46,11,1
236.5,447.0491872,275,381,225,140,64,11,1
226,9.656854153,275,381,230,150,80,12,1
241,294.94095,275,381,219,156,19,13,1
244.5,2.8,275,381,219,119,84,13,1
227.5,41.52792184,275,381,219,155,41,12,1
218.5,381.2030984,275,381,224,148,82,11,1
206.5,0,275,381,223,170,117,12,1
218.5,813.3994737,275,381,221,155,103,12,1
225.5,401.9025913,275,381,221,164,109,12,1
257.5,302.6997364,275,381,221,166,108,11,1
242,2,275,381,222,165,67,11,1
249.5,110.5269114,275,381,229,168,117,10,1
197.5,242.4792178,275,381,220,117,70,13,1
239,0,275,381,219,161,80,12,1
231.5,326.2311078,275,381,222,156,43,12,1
242,9.656854153,275,381,225,158,58,11,1
264.5,275.6605453,275,381,220,131,63,12,1
246,382.1736617,275,381,222,110,68,12,1
224.5,336.02522,275,381,218,165,96,12,1
225,14.98233747,275,381,225,146,88,13,1
210.5,6.828427076,275,381,219,159,99,11,1
211.5,349.4457387,275,381,220,143,28,11,1
213,565.8554945,275,381,224,178,126,12,1
232.5,9.988224983,275,381,225,138,88,12,1
207.5,13.07106769,275,381,225,151,72,13,1
249,255.8311104,275,381,226,151,63,13,1
196,177.0719028,275,381,230,168,80,10,1
249.5,266.6095797,275,381,231,179,102,11,1
223,1003.76725,275,381,224,171,93,12,1
235.5,195.2424654,275,381,224,111,61,13,1
218.5,387.060963,275,381,222,160,52,13,1
233.5,4.8,275,381,228,158,45,13,1
198.5,333.7291746,275,381,224,171,102,13,1
225.5,248.3801409,275,381,219,157,26,14,1
223.5,893.2971921,275,381,224,131,81,12,1
198,71.11269772,275,381,226,158,68,11,1
187.5,111.577878,275,381,219,164,91,13,1
250,319.462984,275,381,231,151,60,12,1
231.5,440.0309326,275,381,230,166,86,13,1
233.5,363.8893908,275,381,226,169,81,11,1
214,526.6112509,275,381,223,166,73,13,1
235,7.6,275,381,219,162,93,13,1
196.5,62.27939372,275,381,226,151,73,12,1
200.5,574.1509442,275,381,221,158,105,10,1
206,8,275,381,221,151,24,12,1
175.5,0,275,381,222,147,92,12,1
193.5,4.8,275,381,230,157,79,12,1
207.5,1848.71938,275,381,220,168,85,12,1
267,24.58233747,275,381,227,181,131,12,1
230,522.4849309,275,381,220,157,30,12,1
222,21.65685415,275,381,219,139,79,13,1
206.5,356.2095793,275,381,222,155,18,14,1
208.5,626.1960259,275,381,222,163,60,12,1
252.5,2,275,381,221,158,56,13,1
259.5,13.01076455,275,381,221,146,81,13,1
268,0,275,381,220,141,80,14,1
214,475.2378303,275,381,224,153,97,13,1
227.5,237.8899837,275,381,219,158,102,14,1
225,5.6,275,381,219,134,60,10,1
230,398.0967051,275,381,220,158,66,10,1
211.5,669.8376541,275,381,219,140,84,12,1
248,295.1683653,275,381,221,147,77,12,1
250.5,577.7848414,275,381,220,163,80,12,1
257,296.2193325,275,381,222,157,64,15,1
232.5,309.4879624,275,381,220,163,80,12,1
242,321.6585239,275,381,219,151,86,10,1
210.5,237.9703876,275,381,221,196,172,13,1
243.5,220.6518018,275,381,220,149,81,12,1
245,300.2428819,275,381,220,149,81,13,1
216.5,536.7643241,275,381,222,151,111,9,1
214,874.2510981,275,381,220,160,75,12,1
216.5,293.2605443,275,381,228,118,47,12,1
231,206.0840961,275,381,221,126,79,12,1
192.5,223.279218,275,381,224,148,19,12,1
190.5,28.67939372,275,381,225,159,53,12,1
197,397.6099972,275,381,223,156,80,11,1
233,273.8130273,275,381,223,119,74,11,1
117.5,2.731370831,275,381,219,156,24,13,1
217,140.2469242,275,381,219,148,42,12,1
222,290.8702985,275,381,220,174,123,10,1
220,339.44574,275,381,220,161,103,12,1
222,6.4,275,381,220,119,77,12,1
240.5,189.2915863,275,381,221,142,82,10,1
210.5,170.1817446,275,381,226,153,98,12,1
203,194.7370829,275,381,229,164,61,12,1
229,27.03919163,275,381,218,154,55,12,1
190,162.4410378,275,381,227,159,67,14,1
214,3.6,275,381,231,125,51,13,1
219.5,63.31370831,275,381,225,168,145,12,1
235.5,258.1409499,275,381,218,159,75,12,1
189,0,275,381,220,164,118,11,1
199,55.55634892,275,381,222,158,108,13,1
210,4.097056246,275,381,222,172,124,11,1
215.5,707.7199048,275,381,223,167,62,13,1
216,0,275,381,222,177,137,11,1
228,250.9978035,275,381,225,173,128,12,1
212,205.1689585,275,381,223,163,104,12,1
271,184.3675311,275,381,219,162,103,12,1
219,245.0331289,275,381,219,162,92,11,1
209.5,3.414213538,275,381,218,156,97,13,1
234.5,254.1978037,275,381,220,172,118,12,1
224.5,232.1527242,275,381,221,154,97,12,1
243.5,311.2820732,275,381,227,153,87,12,1
232.5,2,275,381,220,166,97,13,1
189.5,12.48528123,275,381,222,171,116,14,1
227,273.0899836,275,381,220,153,25,12,1
223,81.12792184,275,381,221,162,102,12,1
221.5,396.0280773,275,381,221,163,103,13,1
240.5,2.828427076,275,381,218,166,111,13,1
237,290.5624788,275,381,220,161,111,12,1
211,313.8761866,275,381,220,147,24,12,1
226,241.0899832,275,381,222,147,57,13,1
272,63.91959581,275,381,219,168,90,13,1
230,3.959797907,275,381,226,155,35,12,1
205,469.7681923,275,381,225,149,52,13,1
242.5,777.528648,275,381,229,171,120,12,1
219.5,0,275,381,221,149,77,12,1
202,330.7496934,275,381,225,157,66,12,1
231,133.2548332,275,381,222,157,55,11,1
216.5,5.794112492,275,381,222,154,63,12,1
230,36.91370831,275,381,220,162,69,12,1
