r_value,g_value,b_value,label
214,132,67,4
208,128,61,4
209,160,93,4
197,142,97,4
209,122,65,4
210,141,74,4
209,132,72,4
218,165,76,4
207,126,56,4
207,167,81,4
210,168,46,4
221,165,66,4
216,136,85,4
210,165,98,4
206,156,83,4
215,156,106,4
217,185,133,4
202,142,88,4
213,141,51,4
205,148,59,4
196,115,60,4
210,172,100,4
197,168,71,4
200,175,90,4
212,166,80,4
222,159,58,4
223,158,51,4
195,166,116,4
215,165,111,4
213,156,104,4
203,167,118,4
208,161,100,4
198,159,99,4
214,169,102,4
211,167,86,4
201,167,82,4
206,117,66,4
215,160,54,4
207,155,67,4
215,160,65,4
203,166,81,4
199,163,81,4
195,170,82,4
206,161,128,4
213,162,86,4
200,156,47,5
197,165,59,5
209,164,83,5
217,154,106,5
218,155,21,5
211,158,108,5
207,148,91,5
176,97,56,5
216,131,67,5
208,144,90,5
200,143,89,5
228,161,98,5
185,186,77,5
208,165,87,5
198,168,29,5
203,154,10,5
197,166,62,5
198,159,68,5
190,177,48,5
209,135,76,5
216,128,60,5
203,134,64,5
209,128,60,5
227,154,63,5
206,169,99,5
199,162,86,5
208,163,98,5
217,148,79,5
208,148,43,5
194,157,65,5
205,160,57,5
196,127,59,5
206,180,123,5
220,182,116,5
206,136,69,5
211,158,101,5
207,129,61,5
206,167,93,5
201,125,63,5
214,158,97,5
221,162,101,5
192,155,57,5
221,116,74,5
216,159,94,5
206,166,113,5
210,170,103,5
212,160,98,5
193,125,55,5
195,121,54,5
212,159,75,5
203,128,59,5
216,140,88,5
223,153,94,5
210,155,46,5
207,158,104,5
213,165,107,5
208,165,107,5
216,155,100,5
206,170,110,5
212,160,64,5
217,159,68,5
212,155,69,5
215,153,87,5
215,152,80,5
214,138,60,5
210,139,98,5
212,157,100,5
216,161,101,5
207,161,52,5
213,168,111,5
198,158,96,5
222,157,54,5
211,159,90,5
210,125,69,5
221,150,48,5
203,162,98,5
221,163,99,5
216,137,63,5
215,133,100,5
210,157,49,5
202,169,107,5
214,157,97,5
211,168,112,5
207,166,88,5
200,165,90,5
222,155,69,5
217,141,77,5
220,150,100,5
218,161,106,5
213,148,108,5
213,159,44,5
223,155,82,5
228,163,108,5
200,160,96,5
222,148,76,5
220,138,61,5
200,161,89,5
209,174,91,5
206,160,100,5
220,163,101,5
219,163,99,5
213,129,62,5
218,147,107,5
216,163,103,5
216,173,112,5
208,165,99,5
220,169,99,5
203,171,114,5
199,126,63,5
205,165,56,5
214,182,134,5
201,148,105,5
219,151,98,5
219,142,88,5
197,144,98,5
212,140,102,5
204,164,75,5
206,127,70,5
208,136,64,5
216,149,46,5
210,163,40,5
213,158,112,5
205,161,107,5
198,155,76,5
203,154,51,5
202,166,77,5
214,159,73,5
206,154,16,5
192,149,90,5
198,117,67,5
211,161,42,5
206,168,68,5
210,167,63,5
199,169,97,5
201,167,95,5
204,155,44,5
213,147,45,5
211,151,55,5
219,151,87,5
208,154,23,5
208,163,32,5
212,163,107,5
221,164,107,5
214,152,98,5
223,152,29,5
210,166,78,5
214,161,73,5
206,169,76,5
210,156,16,5
217,186,123,5
211,157,49,5
225,150,89,5
210,158,101,5
205,163,102,5
212,157,90,5
207,164,96,5
209,172,101,5
225,159,90,5
194,172,62,5
210,166,46,5
218,155,19,5
217,148,40,5
217,148,39,5
200,165,90,5
222,139,26,5
220,164,108,5
219,160,102,5
199,124,81,5
207,158,88,5
194,173,88,5
208,163,31,5
196,128,56,5
205,171,78,5
212,162,30,5
187,161,69,5
203,163,61,5
215,157,30,5
188,154,62,5
199,173,87,5
214,161,82,5
200,153,16,5
208,184,115,5
208,163,30,5
217,154,91,5
206,168,90,5
